,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,178.0912,45.03115,53.88861,30.22868,16.48434,1.251154,0.4265167,0.498365,17.07909,10.54906,32.93869,27.82093
1896,173.8063,6.067986,63.58811,79.57111,20.86365,0.2596352,1.244909,10.59157,6.707462,34.03889,71.76122,55.0905
1897,76.38517,103.0383,81.70479,7.673546,3.006258,2.860343,3.49E-03,0.1472435,3.024739,43.94196,14.94166,32.81948
1898,27.73005,39.44618,15.51796,5.720943,29.962,1.282929,6.43E-03,5.87E-03,19.09531,15.77105,9.975803,30.32233
1899,95.40223,13.77731,134.5716,15.6765,16.15404,10.83753,0,0.724426,0.7484941,84.68468,63.70233,55.46746
1900,63.97556,8.309898,42.67683,38.71196,33.40721,0.1575675,5.80E-03,7.92E-04,2.08063,32.58364,132.5842,23.31126
1901,106.1884,116.3762,14.97793,45.14612,30.78482,0,0,1.33E-04,13.85684,29.74572,42.67456,16.70375
1902,26.65093,134.6045,68.80834,32.58508,12.21885,2.36E-02,0,0,0,29.29239,54.89042,40.91709
1903,81.09293,34.08191,138.35,23.865,0.2012739,0,0,0,0.4814425,3.38361,51.40962,17.25502
1904,23.03888,120.0734,126.183,41.52808,3.167684,2.97E-03,2.72E-03,4.105318,73.57519,45.33141,17.38052,41.19469
1905,77.50069,92.2673,107.088,20.59684,52.19068,0,1.98E-03,0,0.4569631,0.560606,37.81626,21.09886
1906,117.951,80.39365,179.4592,30.35074,50.34546,5.932286,4.99E-03,3.62E-04,1.686409,1.08E-03,26.14951,167.1064
1907,159.8501,53.33414,174.6488,9.500786,2.2912,10.86454,2.43E-02,0,1.294892,43.32361,0.4173088,79.84321
1908,95.99152,66.22528,21.20009,8.884735,14.53027,3.14E-02,2.90E-04,2.81E-03,10.49255,11.80007,30.5757,37.85698
1909,260.1389,128.2956,78.40105,6.83E-02,8.18E-02,1.495592,0,5.36E-03,6.551355,19.43896,43.9885,145.5672
1910,86.77863,24.54843,76.9136,9.62269,0.213027,2.32E-03,0.1454749,0,13.0832,14.72847,10.41622,21.99747
1911,272.597,65.66316,151.8969,24.08871,4.343471,0.4434898,1.90E-03,0,1.252133,8.42779,8.441669,38.0102
1912,48.70805,3.175362,94.4866,54.50589,23.29494,4.662614,5.07E-03,0,14.88776,8.365688,18.19485,13.55211
1913,78.70625,32.06964,31.80961,15.45929,14.92253,4.29772,4.189267,3.680946,1.030242,1.11E-02,88.53067,93.06976
1914,253.5793,89.30222,18.74304,24.03569,6.517973,5.783012,2.07E-02,3.98E-04,1.316342,18.31192,7.01506,111.5915
1915,123.6337,164.2193,32.88543,31.66362,57.53183,0,1.00E-03,2.01E-03,0.3645291,2.61E-03,12.10476,97.92439
1916,274.7787,63.18637,50.64316,7.300821,3.095303,0,0.1564941,1.496679,12.67432,37.20003,16.46399,115.3275
1917,43.54283,104.7745,20.5879,10.93555,7.963215,0,2.87E-02,6.36E-03,2.465568,3.57E-03,12.75373,12.4309
1918,15.46287,129.8574,129.6271,8.576538,2.371419,1.01E-02,3.16E-02,5.43E-03,74.56303,9.624539,65.4894,47.9414
1919,26.75793,119.7094,62.903,2.986633,5.31309,7.35E-04,0,0,16.99922,5.052274,3.548111,78.57288
1920,14.81336,43.72544,114.0621,34.73418,3.74E-02,3.371479,1.08E-02,0.9350461,0.7286491,40.78137,54.31117,87.72052
1921,122.2025,34.0025,38.79552,10.92194,37.34776,0.2786748,0,0,6.693803,6.863144,20.0863,170.9329
1922,77.67173,124.9495,59.28591,12.24656,18.87898,2.007596,7.25E-02,0,0,23.2164,70.51073,137.7003
1923,63.02328,20.62123,4.483582,82.76292,4.101593,2.971673,4.39E-04,0.1060789,18.26896,8.700406,9.155849,18.92434
1924,47.11086,20.32744,58.32755,13.10849,2.360229,2.69E-03,0,1.88E-03,1.48E-02,39.51569,36.19551,65.96953
1925,28.26551,86.80479,47.30502,55.0074,43.78261,2.257679,0.3627288,0.1080769,4.781284,11.41457,20.96899,40.65751
1926,55.85844,120.6455,9.457439,98.2096,2.447433,1.75E-02,4.61E-02,1.91E-03,0,16.41965,124.0065,26.66194
1927,55.40575,144.9128,41.89511,36.33116,3.611615,3.885572,0,3.81E-04,0.7519341,40.57948,51.804,64.89092
1928,20.2645,53.31425,82.88522,19.32569,9.567575,7.68E-02,0,7.18E-04,0,0.2885647,66.42395,71.11652
1929,31.60938,37.46284,40.53298,28.04716,0.1322851,20.64925,0,0,1.342491,0.4102077,3.43E-05,36.80465
1930,104.4546,58.23225,67.88799,20.82956,15.05576,0.1450624,0,0.2738677,6.143781,6.654919,36.27847,3.089432
1931,99.5802,42.53816,17.04242,14.21512,26.81707,10.14901,0,0.7918732,0.2893472,5.732906,55.42793,181.8309
1932,70.04066,92.93046,14.39097,11.45773,12.72577,0.225497,3.84E-02,6.65E-03,0.3365269,0.6080322,4.925076,48.33615
1933,135.6217,12.76092,37.70556,3.830873,21.36314,6.652473,1.96E-04,2.23E-04,0.2229643,19.27437,3.104004,109.3518
1934,38.22888,89.41476,1.839783,2.46921,12.77803,13.42549,0,6.09E-03,4.874651,26.58544,73.1651,66.89349
1935,119.3791,27.14561,90.22167,97.03488,1.907595,1.00E-04,1.52E-02,6.300128,0.1902995,24.46171,22.98787,43.48666
1936,67.64728,208.817,30.91935,36.90813,10.79335,6.757644,2.974433,0.1592094,0.6611333,27.27802,2.805004,105.237
1937,89.906,127.9872,127.1084,18.60766,0.216814,2.323611,2.58E-02,0,1.292719,7.263756,26.67278,125.6316
1938,72.15658,209.4645,152.3726,35.00261,6.1741,0.3879237,0.2889864,0,5.852983,24.9775,15.0205,46.90064
1939,61.37199,49.91953,61.37701,9.933569,11.54236,0.1698132,5.95E-04,5.26E-03,19.92401,15.60399,6.763016,25.40486
1940,180.52,151.3636,64.55778,26.75062,3.048515,0.2806787,5.77E-02,1.47E-03,2.509668,19.67931,9.221874,182.7862
1941,120.5002,169.1957,123.4815,99.69278,11.63674,0.5337143,4.78E-03,0.1055371,4.01E-02,24.9212,19.08808,159.1006
1942,85.43158,51.20045,48.15238,80.84218,23.60159,8.76E-02,1.35E-05,2.90E-02,0.2762837,14.94612,50.08865,49.56305
1943,142.5614,49.89606,105.5296,28.67776,0.2426605,0.6519382,1.71E-03,0,2.27E-04,13.94544,11.51186,64.29694
1944,65.87698,148.0594,32.34011,37.18122,12.23142,4.083006,4.46E-03,0,0.4904809,16.12571,94.45081,52.30919
1945,10.13533,119.5131,86.77311,6.989649,9.062515,3.091729,6.91E-02,0.8671965,1.089983,46.01287,42.17894,125.6097
1946,21.00365,49.08074,62.18229,6.109514,16.12382,0,1.022618,4.47E-05,0.4702439,13.88434,96.00803,61.81335
1947,15.64629,33.4965,45.16941,9.359936,7.606358,4.207884,4.28E-03,2.40E-02,0.4834509,36.75461,15.92511,23.80422
1948,5.581573,39.0161,89.8762,76.21231,26.66755,2.435638,1.88E-04,9.59E-04,1.10E-03,14.30866,4.043419,81.52284
1949,35.99153,53.52902,109.5546,1.731354,13.93932,2.95E-02,0.1892916,0.6510831,6.51E-02,1.301912,34.32377,49.75146
1950,104.7146,55.26862,44.62476,29.947,6.060528,8.34E-02,2.532757,7.41E-03,4.481317,47.33623,101.1364,85.10993
1951,61.7779,43.70522,24.1287,25.97735,9.426153,0.1810391,3.71E-05,6.80E-02,6.00E-02,22.48656,55.71228,148.9488
1952,173.2599,31.9034,118.1722,39.18316,2.486156,1.506207,0.42242,1.76E-04,2.836735,0.6476746,51.31807,148.6958
1953,55.21609,0.6120377,33.04184,42.62387,11.70353,5.417414,0,0.5155976,7.79E-03,5.645435,49.97981,14.86639
1954,80.29084,60.51236,95.87892,25.96793,5.042953,6.460258,9.26E-04,0.1136369,4.59E-03,4.34E-02,44.12696,73.18156
1955,113.3304,44.27482,8.549446,48.39859,26.25493,2.82E-02,0,0.1239483,0.2753916,0.5698891,36.75462,257.6701
1956,127.1095,32.96609,2.022621,47.77505,25.72673,2.28E-02,1.71E-02,2.38E-03,4.81762,24.80894,0.6031532,11.22181
1957,87.50713,68.631,40.64023,40.34372,48.59055,3.58224,3.56E-03,1.69E-04,5.023154,36.27989,15.88497,86.38866
1958,95.18073,164.1515,161.7146,123.3314,16.21241,2.738345,8.49E-02,0.290816,13.87535,0.3846855,7.097073,11.55492
1959,96.1262,123.2784,6.101257,15.29928,1.901467,1.21E-03,6.89E-04,8.59E-02,57.12383,7.06E-05,0,15.33648
1960,85.60061,105.8658,29.75163,37.19126,3.735374,1.04E-02,3.21E-03,2.35E-05,0.6572733,4.496655,85.86192,27.09664
1961,51.06247,21.62094,44.65892,16.79667,14.38137,2.057074,0.2276914,0.8668553,1.927521,1.121752,60.7774,49.52648
1962,47.22063,213.7846,51.27338,3.629917,1.925185,0.2108181,0.1600133,5.85E-02,0.1492925,53.39737,5.406883,55.16879
1963,62.75529,127.1626,81.24026,92.57716,12.60813,2.994267,5.06E-05,0.1288341,6.213655,36.3553,85.52151,5.406204
1964,65.32899,2.913078,43.34496,16.76642,14.23604,7.861281,2.66E-03,0.2273445,3.615968,36.59489,69.04141,128.5088
1965,66.34251,17.62533,41.46176,79.06251,0.2679386,0.1342561,0.6736622,5.313438,0.3454294,2.451281,152.3167,79.85912
1966,40.18331,33.63044,5.891563,7.896673,3.561601,0.7190205,5.034682,0.1396815,6.42791,4.53E-02,79.34119,119.0224
1967,129.3319,12.48457,93.19049,136.6226,6.960199,10.23667,1.27E-03,9.31E-02,7.691307,4.767075,37.15214,52.31201
1968,56.26423,45.83098,57.94228,18.33991,6.301635,0.1790733,1.01E-03,2.51434,1.87E-03,30.56288,57.51805,88.35088
1969,267.6649,191.8652,36.4343,48.81189,0.447629,1.094669,0.1865551,7.04E-05,8.445562,23.44073,26.38478,59.89297
1970,141.0647,34.08616,66.99126,8.469509,8.35E-02,4.570385,1.36E-05,3.39E-05,4.09E-03,8.230289,125.0839,119.14
1971,27.53912,10.67803,35.44548,27.93537,21.00021,0.1922195,7.03E-04,0.1031711,1.81423,5.216395,30.66438,119.1537
1972,21.39245,19.04075,1.322777,18.40326,1.049792,1.476059,2.54E-02,0.2901561,5.606568,43.27472,134.0182,44.29459
1973,145.0753,162.4703,85.54626,4.688763,0.4710159,0.2126281,0,5.76E-02,1.022088,46.41668,78.839,95.15622
1974,103.432,14.24986,112.83,42.88972,0.4259329,2.095122,9.589602,6.53E-05,6.68E-06,33.07665,18.86215,82.05244
1975,16.31987,120.3171,112.2433,37.2644,0.4462509,0.3930233,0.8994163,8.098303,1.430411,42.72142,9.144531,5.752991
1976,3.411209,59.00309,34.63863,30.34466,0.6044149,1.981669,8.20E-02,24.55804,53.46168,17.58013,24.06046,23.94643
1977,40.53212,13.97888,35.32447,0.8362236,39.97367,2.811604,8.81E-02,1.04E-02,7.065635,3.026217,23.67222,122.4891
1978,180.2399,141.0987,134.3928,96.82735,0.5990486,0.3138359,8.16E-04,3.99E-05,23.38183,5.93E-04,58.08904,28.9587
1979,117.0204,107.8476,79.67412,12.05457,4.62625,4.44E-04,2.331777,1.34E-02,0.8047719,36.47944,38.20631,74.05287
1980,139.2409,159.6574,51.25562,29.37677,10.88476,0.1474321,8.016454,3.27E-03,3.34E-02,1.813343,2.881428,36.13926
1981,117.6222,35.89128,112.1676,20.04214,3.039455,0,1.42E-02,1.29E-02,0.3264198,40.1049,98.41998,50.9902
1982,117.4201,54.65334,134.7302,94.38287,0.469511,9.076284,0.3354441,0.2855472,35.44125,44.1543,115.6034,87.05772
1983,170.9684,139.2005,193.7189,77.72566,11.37742,0.3423316,2.18E-02,7.565058,24.57907,25.46035,119.8367,115.9582
1984,5.774658,34.91851,23.45825,13.18363,0.6214886,2.023049,0.1158297,0.2330968,1.220567,34.73141,98.96056,57.66999
1985,18.27499,35.91387,72.22804,6.330069,1.111559,2.833168,0.3891847,0.3710136,6.627273,19.89505,90.95876,40.99661
1986,54.31012,196.615,127.3004,17.60317,4.529305,6.28E-03,0.285136,8.89E-03,24.14083,1.134127,5.129032,26.5392
1987,54.0701,86.64426,80.77409,6.817926,3.991976,1.298598,9.71E-03,1.08E-02,0.6605506,30.67948,31.32558,86.33032
1988,58.78784,23.60147,15.35392,53.60503,11.3845,4.115337,5.17E-03,2.70E-03,1.74E-02,0.6955357,47.13432,86.60961
1989,22.58531,36.11835,60.8856,8.693659,3.795331,0.5668044,0,0.6267034,39.70832,35.28265,21.93232,0.6760712
1990,65.69811,58.32801,22.654,12.96776,41.81927,0.2429192,4.38E-02,3.41E-02,9.500108,1.141581,9.301598,22.43567
1991,11.56417,51.78372,234.754,8.49754,4.026672,3.750866,7.06E-02,1.387582,0.6792631,34.2143,9.918537,68.20928
1992,46.41198,165.4367,71.82185,3.084694,0.1378851,2.384338,7.207439,2.81E-02,4.59E-02,33.60323,2.462196,121.0453
1993,212.9677,143.921,79.78386,10.60031,14.77709,12.28784,2.26E-03,5.36E-03,7.88E-03,7.682103,31.21331,42.19432
1994,50.04466,103.0499,18.66256,33.16214,32.8124,0.1531465,7.22E-04,2.60E-03,13.01756,19.71487,62.56294,36.7486
1995,275.7036,24.0223,226.5824,33.71068,29.82324,15.30163,1.486372,5.30E-04,4.41E-03,1.26E-02,2.87117,97.45497
1996,99.89548,160.1833,55.7644,28.7772,32.7756,1.742271,9.03E-03,2.08E-02,7.25E-02,46.75111,77.67112,180.3937
1997,202.5703,5.643623,3.549431,4.886208,2.574508,1.844916,0.4496936,2.954716,1.52603,6.725678,99.01443,82.70408
1998,150.7249,301.4908,79.34575,61.12601,72.70546,7.025053,2.05E-02,4.31E-03,4.913245,12.313,45.72239,34.01402
1999,78.26697,87.68901,63.259,40.8982,2.489811,2.091229,3.87E-02,0.4848972,3.201551,1.895966,33.09053,5.588394
2000,126.7375,182.0587,41.99604,41.20747,12.5177,6.841948,5.84E-02,0.4084284,4.118202,66.92402,8.390163,8.235516
2001,106.833,105.3112,66.40557,40.76817,2.73E-02,0.3448248,0.4420743,1.75E-02,2.43714,11.37423,76.34469,111.5912
2002,35.04755,26.62384,44.23376,9.073597,12.51359,0.5660505,3.48E-03,4.36E-02,0.2098994,8.12E-02,75.04613,153.4193
2003,21.83094,45.77272,36.6484,58.76226,26.23572,4.83E-02,0.2580072,4.131566,6.66E-02,0.3465424,32.63893,118.219
2004,37.02912,110.1005,13.5799,1.558393,1.863901,0.1690879,1.43E-02,1.60E-03,2.044412,94.54089,29.75708,128.6411
2005,122.046,97.3055,85.41122,31.7193,30.78188,3.833873,5.52E-02,0.3043538,2.833473,3.954735,13.66617,102.0916
2006,115.729,36.31792,118.9529,98.33704,26.70167,0.2199786,0.3023583,5.61E-03,0.1677418,7.609555,21.22444,57.16044
2007,17.24221,75.77143,11.23336,20.16523,2.809353,2.00E-02,4.74E-02,1.046783,6.804135,20.97669,7.485603,54.42395
2008,183.7589,63.28979,2.806938,3.019007,2.761329,6.06E-03,7.35E-04,3.94E-03,1.02E-02,6.130448,33.38744,48.31153
2009,42.81688,107.5631,43.87664,10.52917,12.45308,4.10786,3.35E-03,0.1505725,2.732652,76.88297,5.534752,75.08157
2010,135.0244,89.9559,36.36948,76.90521,12.26138,9.27E-02,2.38E-02,4.18E-02,3.29E-02,33.67743,56.70261,162.1628
2011,46.47507,90.50299,140.8236,6.942297,22.87278,30.69654,2.33E-02,3.06E-02,0.7458282,28.85989,36.59044,2.765533
2012,53.51282,14.62316,73.76868,63.8957,0.6849422,2.869529,4.52E-02,1.41E-02,0.1145091,10.53028,47.03712,148.7854
2013,24.33716,10.74995,18.03972,9.625193,2.637361,1.062243,1.91E-02,0.1126769,2.86341,3.558144,13.5559,8.665356
2014,5.770538,71.80913,54.61441,30.3317,0.9553051,7.48E-02,0.2708725,1.96E-02,3.903453,1.925684,36.42581,154.0193
2015,2.828026,49.24489,6.761925,24.57947,8.528813,2.35879,7.474319,0.2907359,0.3348851,7.779245,56.25887,68.72708
2016,129.115,27.31833,110.0514,30.3066,6.658713,8.38E-02,9.39E-03,1.64E-02,2.64E-02,64.27478,38.77523,66.00428
2017,237.8362,162.0404,47.19237,43.04092,2.761157,1.619242,2.43E-03,5.73E-02,2.448748,3.249138,31.84778,2.131676
2018,75.29318,7.82972,145.7938,29.81193,1.744242,3.35E-02,1.69E-02,6.17E-03,1.15E-03,5.954529,80.3242,41.43886
2019,110.2345,165.5731,83.86505,6.884146,52.08314,1.051185,9.04E-03,3.59E-02,1.736049,1.91E-03,27.48588,135.506
2020,23.31169,6.42E-02,81.2328,48.68993,11.85326,0.1541307,3.09E-02,0.4434972,2.11E-02,3.43E-02,13.90114,31.2222
